City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,25.88,84,75,7.2,US,1726551207
1,tergnier,49.6561,3.3011,11.69,97,59,5.18,FR,1726551208
2,port-aux-francais,-49.35,70.2167,4.5,97,100,14.2,TF,1726551209
3,port blair,11.6667,92.75,28.02,83,75,3.09,IN,1726551211
4,camacupa,-12.0167,17.4833,21.52,52,1,0.99,AO,1726551212
5,talnakh,69.4865,88.3972,3.47,87,72,4.83,RU,1726551213
6,alotau,-10.3069,150.4462,24.01,97,100,3.52,PG,1726551214
7,klaksvik,62.2266,-6.589,12.29,84,99,13.33,FO,1726551215
8,bismarck,46.8083,-100.7837,21.71,76,20,2.24,US,1726551039
9,kansanshi,-12.0951,26.4273,22.75,22,0,4.53,ZM,1726551217
10,keflavik,64.0049,-22.5624,8.24,93,96,6.17,IS,1726551218
11,arkhangel'sk,64.5401,40.5433,10.06,81,0,2.0,RU,1726551002
12,saint-joseph,-21.3667,55.6167,24.21,67,58,3.74,RE,1726551220
13,iqaluit,63.7506,-68.5145,2.61,86,100,5.14,CA,1726551221
14,waitangi,-43.9535,-176.5597,9.9,95,100,0.89,NZ,1726551223
15,college,64.8569,-147.8028,6.43,85,100,4.63,US,1726551224
16,margaret river,-33.95,115.0667,18.39,55,0,3.15,AU,1726551225
17,san luis de la loma,17.2706,-100.8939,27.16,87,100,1.54,MX,1726551226
18,santiago de cao,-7.9589,-79.2392,16.07,88,4,2.57,PE,1726551227
19,usinsk,65.9939,57.5281,16.2,72,100,6.28,RU,1726551228
20,singkil,-7.9855,111.4161,33.32,31,33,6.61,ID,1726551229
21,adamstown,-25.066,-130.1015,19.87,87,100,7.99,PN,1726551230
22,shantobe,52.4581,68.1839,10.65,51,1,4.83,KZ,1726551231
23,muleba,-1.8397,31.6544,24.16,57,97,1.83,TZ,1726551232
24,ushuaia,-54.8,-68.3,3.81,81,75,6.69,AR,1726551233
25,turpan,42.9333,89.1667,32.74,12,0,1.64,CN,1726551235
26,quellon,-43.1167,-73.6167,6.35,79,100,2.5,CL,1726551236
27,aasiaat,68.7098,-52.8699,-2.45,90,86,1.95,GL,1726551237
28,freetown,8.484,-13.2299,25.84,83,75,3.09,SL,1726551238
29,cidreira,-30.1811,-50.2056,14.81,93,2,2.97,BR,1726551239
30,hamilton,39.1834,-84.5333,18.43,62,15,1.47,US,1726551240
31,san francisco de la paz,14.9,-86.2,21.06,97,62,0.36,HN,1726551242
32,chokwe,-24.5333,32.9833,25.32,70,81,2.78,MZ,1726551243
33,stanley,54.868,-1.6985,6.01,100,0,0.51,GB,1726551245
34,port augusta,-32.5,137.7667,23.5,12,0,3.56,AU,1726551249
35,pitimbu,-7.4706,-34.8086,23.75,84,57,4.37,BR,1726551250
36,taoudenni,22.6783,-3.9836,33.0,29,23,3.62,ML,1726551251
37,vilyuchinsk,52.9306,158.4028,14.15,61,99,4.16,RU,1726551252
38,blackmans bay,-43.0167,147.3167,13.07,64,88,6.55,AU,1726551253
39,panaba,21.2833,-88.2667,25.47,91,97,2.46,MX,1726551254
40,holualoa,19.6228,-155.9522,24.48,93,69,2.21,US,1726551075
41,saldanha,-33.0117,17.9442,5.03,79,8,3.42,ZA,1726551256
42,puerto ayora,-0.7393,-90.3518,21.23,87,75,4.81,EC,1726551258
43,montrose,38.4166,-108.2673,11.41,73,56,2.34,US,1726551259
44,edinburgh of the seven seas,-37.0676,-12.3116,11.39,75,51,14.23,SH,1726551260
45,paka,4.6374,103.4368,29.96,79,40,1.54,MY,1726551261
46,ves'yegonsk,58.664,37.2604,18.44,58,12,1.45,RU,1726551262
47,grytviken,-54.2811,-36.5092,-1.95,81,44,5.27,GS,1726551263
48,labrador city,52.9463,-66.9114,15.66,89,75,5.36,CA,1726551264
49,alta,69.9689,23.2717,8.59,81,75,1.54,NO,1726551265
50,hawaiian paradise park,19.5933,-154.9731,23.22,96,100,1.52,US,1726551266
51,invercargill,-46.4,168.35,7.23,65,94,3.13,NZ,1726551018
52,kourou,5.1552,-52.6478,24.5,89,24,3.53,GF,1726551269
53,port mathurin,-19.6833,63.4167,21.66,74,36,7.25,MU,1726551270
54,cestos city,5.46,-9.5828,24.63,89,79,1.97,LR,1726551271
55,chiredzi,-21.05,31.6667,25.25,39,0,4.2,ZW,1726551272
56,boonville,38.9736,-92.7432,20.1,94,0,0.0,US,1726551140
57,diapaga,12.0708,1.7889,23.1,95,77,1.49,BF,1726551274
58,lihue,21.9789,-159.3672,26.65,81,75,7.2,US,1726551145
59,codrington,-38.2667,141.9667,13.66,61,79,8.48,AU,1726551276
60,isafjordur,66.0755,-23.124,4.3,96,100,2.75,IS,1726551277
61,saint-philippe,-21.3585,55.7679,21.75,69,64,4.66,RE,1726551278
62,puerto natales,-51.7236,-72.4875,2.46,94,86,3.89,CL,1726551279
63,athi river,-1.4507,36.9824,16.71,82,75,1.54,KE,1726551281
64,alice springs,-23.7,133.8833,24.75,12,35,4.12,AU,1726551282
65,duki,30.1541,68.5728,31.06,19,0,0.3,PK,1726551283
66,chibougamau,49.9168,-74.3659,19.79,64,75,3.6,CA,1726551284
67,longyearbyen,78.2186,15.6401,4.91,93,75,0.51,SJ,1726551285
68,flin flon,54.7682,-101.865,13.12,65,69,2.12,CA,1726551286
69,wynyard,-41.0,145.7167,13.44,66,98,2.24,AU,1726551287
70,zaozersk,69.4005,32.4476,9.44,92,100,5.35,RU,1726551289
71,howrah,22.5892,88.3103,31.0,79,75,4.12,IN,1726551290
72,kerikeri,-35.2268,173.9474,10.51,77,12,4.92,NZ,1726551293
73,mumford,5.2618,-0.759,23.1,90,29,3.84,GH,1726551294
74,avarua,-21.2078,-159.775,24.03,88,60,2.57,CK,1726551295
75,egilsstadir,65.2653,-14.3948,4.95,100,40,2.06,IS,1726551296
76,lompoc,34.6391,-120.4579,14.03,86,20,3.6,US,1726551297
77,fortuna,40.5982,-124.1573,14.0,94,100,0.0,US,1726551298
78,verkhnevilyuysk,63.4453,120.3167,7.7,53,99,5.78,RU,1726551299
79,byron bay,-28.65,153.6167,18.44,63,1,4.77,AU,1726551300
80,al artawiyah,26.5053,45.3444,33.28,19,0,3.67,SA,1726551301
81,shimoda,34.6667,138.95,29.12,72,19,4.27,JP,1726551302
82,bethel,41.3712,-73.414,14.38,94,100,0.0,US,1726551303
83,nevada,39.2502,-116.7512,4.57,68,60,1.43,US,1726551306
84,sinabang,2.4803,96.3801,25.16,89,100,1.66,ID,1726551307
85,jamestown,42.097,-79.2353,14.45,86,0,2.57,US,1726551308
86,dunedin,-45.8742,170.5036,3.78,86,97,4.02,NZ,1726551309
87,ilulissat,69.2167,-51.1,1.01,93,75,0.0,GL,1726551310
88,constantia,44.1833,28.65,12.38,56,6,6.23,RO,1726551311
89,piacabucu,-10.4056,-36.4344,23.08,76,7,4.12,BR,1726551312
90,fale old settlement,-9.3852,-171.2468,28.06,72,35,1.23,TK,1726551313
91,bilibino,68.0546,166.4372,0.68,78,100,1.03,RU,1726551314
92,briviesca,42.5499,-3.3232,7.16,94,66,1.08,ES,1726551315
93,klyuchi,52.2667,79.1667,10.5,46,5,5.87,RU,1726551317
94,pandan,14.0453,124.1694,25.91,91,100,4.59,PH,1726551318
95,thompson,55.7435,-97.8558,7.09,93,20,0.0,CA,1726551319
96,carloforte,39.145,8.3058,18.04,64,1,1.92,IT,1726551320
97,crane,31.3974,-102.3501,25.86,55,43,6.56,US,1726551321
98,aripuana,-9.1667,-60.6333,23.99,47,3,1.25,BR,1726551322
99,mwatate,-3.5029,38.3795,20.35,75,85,3.69,KE,1726551323
100,wailua homesteads,22.0669,-159.378,24.77,87,75,7.2,US,1726551324
101,mili,6.0815,171.735,28.9,68,71,0.58,MH,1726551325
102,magadan,59.5667,150.8,5.51,84,97,0.76,RU,1726551326
103,susuman,62.7833,148.1667,6.45,47,78,3.34,RU,1726551327
104,hadibu,12.65,54.0333,27.29,75,38,7.69,YE,1726551329
105,angaur state,6.906,134.13,29.11,80,100,7.73,PW,1726551330
106,saguenay,48.4168,-71.0657,21.16,68,20,3.09,CA,1726551331
107,palikir - national government center,6.9248,158.1611,28.41,84,100,2.06,FM,1726551332
108,tiksi,71.6872,128.8694,1.92,98,100,3.1,RU,1726551333
109,atafu village,-8.5421,-172.5159,28.41,70,20,2.25,TK,1726551334
110,hithadhoo,-0.6,73.0833,28.79,74,89,3.69,MV,1726551335
111,puerto leguizamo,-0.1934,-74.7819,22.82,94,36,1.2,CO,1726551336
112,papatowai,-46.5619,169.4708,5.12,67,94,4.73,NZ,1726551337
113,dhidhdhoo,6.8833,73.1,28.35,77,19,6.42,MV,1726551338
114,burang,30.25,81.1667,11.34,47,21,2.74,CN,1726551340
115,anadyr,64.75,177.4833,8.89,81,75,4.0,RU,1726551261
116,dudinka,69.4058,86.1778,4.81,76,27,6.0,RU,1726551342
117,santiago,-33.4569,-70.6483,14.16,57,100,0.89,CL,1726551065
118,ocean shores,46.9737,-124.1563,13.87,90,0,2.24,US,1726551344
119,tralee,52.2704,-9.7026,10.79,92,31,2.34,IE,1726551345
120,pasni,25.2631,63.471,27.93,75,25,5.84,PK,1726551346
121,qaqortoq,60.7167,-46.0333,4.26,86,97,1.3,GL,1726551347
122,enewetak,11.3474,162.3373,28.89,73,98,4.76,MH,1726551348
123,raduzhny,62.0961,77.475,14.32,73,96,5.05,RU,1726551349
124,st. john's,47.5649,-52.7093,17.32,90,100,8.23,CA,1726551350
125,udachny,66.4167,112.4,4.88,72,100,7.76,RU,1726551352
126,severo-yeniseyskiy,60.3725,93.0408,4.31,79,100,4.22,RU,1726551353
127,altay,47.8667,88.1167,16.47,33,45,3.4,CN,1726551354
128,ribeira grande,38.5167,-28.7,21.54,91,91,1.79,PT,1726551355
129,szentlorinc,46.0402,17.9872,11.49,95,99,2.66,HU,1726551356
130,yellowknife,62.456,-114.3525,9.7,99,75,2.57,CA,1726551068
131,touros,-5.1989,-35.4608,23.23,83,5,5.79,BR,1726551358
132,shahrak,34.1074,64.3052,18.7,27,1,5.94,AF,1726551359
133,dali,25.7,100.1833,24.56,60,36,0.8,CN,1726551360
134,chernyshevskiy,63.0128,112.4714,1.67,97,100,4.95,RU,1726551361
135,vila velha,-20.3297,-40.2925,23.86,86,20,1.54,BR,1726551349
136,lebu,-37.6167,-73.65,7.94,93,82,4.01,CL,1726551364
